id;Manuscript;page;transcription
1;MS788-1993;coverfrontwithrope;
2;MS788-1993;coverfront;
3;MS788-1993;endpaperfront;
4;MS788-1993;2;
5;MS788-1993;3;
6;MS788-1993;7;
7;MS788-1993;8;
8;MS788-1993;9;
9;MS788-1993;10;
10;MS788-1993;14;
11;MS788-1993;15;
12;MS788-1993;16;
13;MS788-1993;17;
14;MS788-1993;18;
15;MS788-1993;19;
16;MS788-1993;20;
17;MS788-1993;21;
18;MS788-1993;22;
19;MS788-1993;24;
20;MS788-1993;29;
21;MS788-1993;32;
22;MS788-1993;33;
23;MS788-1993;36;
24;MS788-1993;51;
25;MS788-1993;52;
26;MS788-1993;55;
27;MS788-1993;57;
28;MS788-1993;58;
29;MS788-1993;61;
30;MS788-1993;62;
31;MS788-1993;63;
32;MS788-1993;64;
33;MS788-1993;68;
34;MS788-1993;69;
35;MS788-1993;72;
36;MS788-1993;73;
37;MS788-1993;74;
38;MS788-1993;75;
39;MS788-1993;79;
40;MS788-1993;81;
41;MS788-1993;82;
42;MS788-1993;83;
43;MS788-1993;84;
44;MS788-1993;85;
45;MS788-1993;86;
46;MS788-1993;87;
47;MS788-1993;95;
48;MS788-1993;100;
49;MS788-1993;101;
50;MS788-1993;102;
51;MS788-1993;103;
52;MS788-1993;111;
53;MS788-1993;112;
54;MS788-1993;114;
55;MS788-1993;115;
56;MS788-1993;endpaperback;
57;MS788-1993;coverback;
58;MS788-1993;coverbackwithrope;